Nom du site où est dispensée la formation,Adresse du site de formation,Complément d’adresse du site de formation,Suite du complément d’adresse du site de formation,Ville du site de formation,Coordonnées géographiques du site de formation,Nom officiel (long) de l’établissement accrédité,Intitulé de la mention de master,Modalités d’enseignement de la mention,Intitulé du parcours,Modalités d’enseignement du parcours,Domaine(s) de la mention de master,Existence d’une capacité d’accueil limitée au 1er semestre,Capacité d’accueil limitée au 1er semestre,Année de la campagne de recueil des informations,Licences conseillées pour suivre la formation de la mention,URL de la fiche relative à la mention sur le site internet de l’établissement
Université de Strasbourg,4  RUE BLAISE PASCAL,,,STRASBOURG CEDEX,,Université de Strasbourg,Analyse et politique économiques,Formation initiale|Formation continue|Alternance|Apprentissage,Macroéconomie et politiques européennes,Formation initiale|Formation continue|Alternance|Apprentissage,"DROIT, ECONOMIE, GESTION",Oui,60.0,2021.0,,
Université Montpellier-III,ROUTE DE MENDE,,,MONTPELLIER CEDEX 5,,Université Montpellier-III,Anthropologie,Formation initiale|Formation continue,Humanités environnementales,Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,30.0,2021.0,,
Centre de recherches Interuniversitaires (CRI),rue Charles V,,,PARIS,"0.0,-0.0",Université de Paris,Approches Interdisciplinaires de la Recherche et de l'Enseignement (AIRE),Formation initiale|Formation continue,Life Sciences (AIV),Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,60.0,2020.0,Psychologie|Sociologie|Physique|Langues étrangères appliquées|Géographie et aménagement|Frontières du vivant,https://odf.u-paris.fr/fr/offre-de-formation/master-lmd-XB/sciences-technologies-sante-STS/approche-interdisciplinaire-de-la-recherche-et-de-l-enseignement-K2VOCNYM//master-approches-interdisciplinaires-de-la-recherche-et-de-l-enseignement-m1-aire-JRXK8D6E.html?search-keywords=APPROCHES+INTERDISCIPLINAIRES+DE+LA+RECHERCHE+ET+DE+L%E2%8%99ENSEIGNEMENT
Université Lyon 3,Faculté des lettres et civilisations,Campus des quais,15 quai Claude Bernard,LYON,"45.752443,4.837579",Université Lyon-III,Archives,Formation initiale,,,SCIENCES HUMAINES ET SOCIALES,Oui,20.0,2019.0,Histoire,http://facdeslettres.univ-lyon3.fr/master-archives-994170.kjsp?RH=1388759123591
Université Montpellier-III,ROUTE DE MENDE,,,MONTPELLIER CEDEX 5,,Université Montpellier-III,Archéologie et histoire des mondes anciens,Formation initiale|Formation continue,Histoire de la méditerranée antique,Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,105.0,2021.0,,
Université de Strasbourg,4  RUE BLAISE PASCAL,,,STRASBOURG CEDEX,,Université de Strasbourg,"Archéologie, sciences pour l'archéologie",Formation initiale|Formation continue,Parcours interdisciplinaire des mondes de l'Antiquité (MIMA),Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,51.0,2021.0,,
Université de lille,Faculté des Humanités,rue du Barreau,Pont de Bois,Villeneuve d'Ascq,"0.0,-0.0",Université de Lille,Arts,Formation initiale|Formation continue,Musique et interprétation,Formation initiale|Formation continue,"ARTS, LETTRES, LANGUES",Oui,164.0,2020.0,,
Université Rennes 2 - Campus Villejean,Place du Recteur H. Le Moal,"UFR Arts, Lettres, Communication",,Rennes cedex,"48.119652,-1.702319",Université Rennes-II,Arts de la scène et du spectacle vivant,Formation initiale|Formation continue,Médiation du spectacle vivant à l'ère du numérique,Formation initiale|Formation continue|Alternance,"ARTS, LETTRES, LANGUES",Oui,45.0,2020.0,Arts du spectacle,https://formations.univ-rennes2.fr/fr/formations/master-37/master-mention-arts-de-la-scene-et-du-spectacle-vivant-JF8B30CZ.html#programContentd17a32e3-36ba-4f4c-9b6e-535bdea1d5c4-1
Université de Strasbourg,4  RUE BLAISE PASCAL,,,STRASBOURG CEDEX,,Université de Strasbourg,Arts plastiques,Formation initiale|Formation continue,"Critique-Essais, écritures de l'art contemporain",Formation initiale|Formation continue,"ARTS, LETTRES, LANGUES",Oui,61.0,2021.0,,
Université Paris 08,"2, rue de la Liberté",,,Saint-Denis,"48.945306,2.363875",Université Paris-X,"Arts, Technologies, Création",Formation initiale|Formation continue,La Création comme activité de recherche,Formation initiale|Formation continue,"ARTS, LETTRES, LANGUES",Oui,36.0,2019.0,,
Université de Nantes,1  QUAI DE TOURVILLE,,,NANTES CEDEX 2,,Université de Nantes,"Arts, lettres et civilisations",Formation initiale,Sciences de l'Antiquité,Formation initiale,"ARTS, LETTRES, LANGUES",Oui,175.0,2021.0,,
Ecole des hautes études en sciences sociales,54 boulevard Raspail,,,PARIS,,Ecole des hautes études en sciences sociales,"Arts, littératures, langages",Formation initiale,"Images, cultures visuelles, histoire de l'art",Formation initiale,SCIENCES HUMAINES ET SOCIALES,Oui,70.0,2021.0,,
Cnam Enjmin,138 rue de bordeaux,,,Angouleme,"45.653408,0.14954",Conservatoire national des arts et métiers,"Audiovisuel, médias interactifs numériques, jeux",Formation initiale,Jeux et médias interactifs numériques : programmeur,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Non,,2020.0,,
Université de Lille,Faculté des Sciences et Technologies,Département EEA,Cité scientifique,Villeneuve d'Ascq Cedex,"0.0,-0.0",Université de Lille,Automatique et systèmes électriques,Formation initiale|Formation continue|Alternance,Véhicules intelligents électriques,Formation initiale|Formation continue|Alternance,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,80.0,2021.0,"Electronique, énergie électrique, automatique",
UNIVERSITE SORBONNE UNIVERSITE,21 RUE DE L'ECOLE DE MEDECINE,,,PARIS,,UNIVERSITE SORBONNE UNIVERSITE,"Automatique, robotique",Formation initiale|Formation continue,Systèmes intelligents,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,75.0,2021.0,,
Ecole centrale de Lyon,36  AVENUE GUY DE COLLONGUE,,,ECULLY CEDEX,,Ecole centrale de Lyon,Aéronautique et espace,Formation initiale,Dynamique et durabilité des composites,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,22.0,2021.0,,
OSUR,263 avenue Général Leclerc,,,RENNES,"48.116359,-1.63838",Université Rennes-I,Bio-géosciences,Formation initiale,"Science de la vie, de la terre et de l'univers",Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,25.0,2020.0,,
Sciences de la Vie et de l'Environnement,Campus de Beaulieu,Avenue du Général Leclerc,CS 74205,RENNES,"48.118133,-1.637697",Université Rennes-I,Bio-informatique,Formation initiale,bio-informatique pour la santé,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,48.0,2020.0,,
