Session,Établissement,Académie de l’établissement,Commune de l’établissement,Sélectivité,Filière de formation très agrégée,Filière de formation détaillée bis,Coordonnées GPS de la formation,Capacité de l’établissement par formation,Concours communs et banque d'épreuves,Lien de la formation sur la plateforme Parcoursup,Taux d’accès,Effectif total des candidats en phase principale,Effectif des candidats néo bacheliers généraux en phase principale,Effectif des candidats néo bacheliers technologiques en phase principale,Effectif des candidats néo bacheliers professionnels en phase principale,Effectif total des candidats en phase complémentaire,Effectif des candidats néo bacheliers généraux en phase complémentaire,Effectif des candidats néo bacheliers technologique en phase complémentaire,% d’admis néo bacheliers sans mention au bac,% d’admis néo bacheliers avec mention Assez Bien au bac,% d’admis néo bacheliers avec mention Bien au bac,% d’admis néo bacheliers avec mention Très Bien au bac,% d’admis néo bacheliers avec mention Très Bien avec félicitations au bac,% d’admis néo bacheliers généraux,Dont % d’admis avec mention (BG),% d’admis néo bacheliers technologiques,Dont % d’admis avec mention (BT),% d’admis néo bacheliers professionnels,Part des terminales générales qui étaient en position de recevoir une proposition en phase principale,Part des terminales technologiques qui étaient en position de recevoir une proposition en phase principale,Part des terminales professionnelles qui étaient en position de recevoir une proposition en phase principale
2025,lycée international de valbonne,nice,valbonne,formation sélective,cpge,mp2i,"43.6207,7.04161",48,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=32117&typebac=0&originepc=0,42,1217,644,4,0,0,0,0,0.0,13.0,37.0,48.0,2.0,100.0,100.0,0.0,0.0,0.0,100,0,0
2025,lycée saint joseph,dijon,dijon,formation sélective,bts,"cybersécurité, informatique et réseaux, electronique - option a : informatique et réseaux","47.3135,5.03727",30,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=3216&typebac=0&originepc=0,93,192,39,39,55,23,2,3,47.0,47.0,7.0,0.0,0.0,20.0,0.0,27.0,7.0,53.0,34,27,39
2025,institut supérieur de commerce de paris,paris,paris 17e  arrondissement,formation sélective,ecole de commerce,formation des écoles de commerce et de management bac + 3,"48.89268,2.3011",200,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=32210&typebac=0&originepc=0,nd,549,379,101,12,127,53,18,75.0,15.0,9.0,0.0,0.0,60.0,15.0,30.0,8.0,9.0,nd,nd,nd
2025,université angers,nantes,angers,formation non sélective,licence_las,mathématiques,"47.48023,-0.59963",20,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=32225&typebac=0&originepc=0,nd,551,434,16,2,0,0,0,22.0,22.0,22.0,22.0,11.0,100.0,78.0,0.0,0.0,0.0,nd,nd,nd
2025,"institut catholique de lille-faculté de gestion, economie et sciences",lille,lille,formation sélective,licence,economie,"50.6337,3.04508",45,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=32267&typebac=0&originepc=0,73,369,335,3,1,0,0,0,5.0,41.0,49.0,2.0,2.0,98.0,93.0,2.0,2.0,0.0,99,1,0
2025,lycée saint bénigne,dijon,dijon,formation sélective,autre formation,diplôme de comptabilité et de gestion,"47.3302,5.01753",24,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=3227&typebac=0&originepc=0,77,261,95,69,8,13,3,1,41.0,35.0,12.0,12.0,0.0,65.0,29.0,35.0,29.0,0.0,69,31,0
2025,lycée les arcades,dijon,dijon,formation sélective,bts,support à l'action managériale,"47.31175,5.05025",32,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=3228&typebac=0&originepc=0,100,112,7,37,46,29,2,4,93.0,7.0,0.0,0.0,0.0,14.0,0.0,21.0,0.0,64.0,12,38,49
2025,lycée les arcades,dijon,dijon,formation sélective,bts,commerce international,"47.31175,5.05025",34,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=3229&typebac=0&originepc=0,33,420,97,145,78,0,0,0,33.0,41.0,26.0,0.0,0.0,22.0,15.0,52.0,33.0,26.0,41,46,13
2025,cnam paris,créteil,saint-denis,formation sélective,autre formation,dsp - développement et exploitation de parcs informatiques,"48.867,2.35463",25,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=32300&typebac=0&originepc=0,16,51,11,5,5,249,50,12,100.0,0.0,0.0,0.0,0.0,80.0,0.0,20.0,0.0,0.0,57,43,0
2025,lycée les arcades,dijon,dijon,formation sélective,bts,communication,"47.31175,5.05025",32,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=3231&typebac=0&originepc=0,52,268,67,66,73,0,0,0,46.0,46.0,8.0,0.0,0.0,29.0,12.0,38.0,12.0,33.0,50,31,18
